"78","lca","Lincoln County Aging & Disability Center","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"79","lig1","Ligonier Ministries","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"80","lockheed","Lockheed Martin","\\BVMDM01\RAWDATA\BVMDM01\","Custom Mitel","BWS1i"
"81","lpl","LPL Financial","\\BVMDM01\RAWDATA\BVMDM01\","Nortel","BWS1i"
"82","lucent","Lucent Technologies","\\BVMDM01\RAWDATA\BVMDM01\","Avaya","BWS1i"
"83","malark","Malark","\\BVMDM01\RAWDATA\BVMDM01\","CCME Radius","BWS1i"
"84","mazak","Mazak Corporation","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"85","mccain","McCain Foods Limited","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"86","mcquade","McQuade District Agency","\\BVMDM01\RAWDATA\BVMDM01\","Nortel","BWS1i"
"87","mcs1","Managed Care Systems","\\BVMDM01\RAWDATA\BVMDM01\","Cisco | WirelessNOW","BWS1i"
"88","mctigue","The McTigue Agency","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"89","merrill","City of Merrill - Merrill, WI","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"90","merrilllync","Merrill Lynch / Bank of America","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"91","mmc","mmc","\\BVMDM01\RAWDATA\BVMDM01\","Nortel","BWS1i"
"92","mmt","Mass Transit","\\BVMDM01\RAWDATA\BVMDM01\","NEC","BWS1i"
"93","mon1","NeTech/Monroe Clinic","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"94","ms_test","CDRMS Test","\\BVMDM01\RAWDATA\BVMDM01\","Cisco | Avaya | Custom Generic","BWS1i"
"95","msg","Martin Sprocket and Gear","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"96","mtg1","Matheson Tri-Gas Inc","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"97","Navistar","CDW - Navistar","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"98","NCA1","NCSA Athleadership Network","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"99","ncr","NCR Corporation","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"100","nestle","Nestle","\\BVMDM01\RAWDATA\BVMDM01\","Avaya","BWS1i"
"101","netapp","Network Applance Inc.","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"102","networkcont","Network Control, Inc.","\\BVMDM01\RAWDATA\BVMDM01\","Mitel","BWS1i"
"103","ngc","NGC","\\BVMDM01\RAWDATA\BVMDM01\","Nortel | Avaya","BWS1i"
"104","novelis","NexusIS, Inc / Novelis","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"105","ntc1","Netelligent Corporation","\\BVMDM01\RAWDATA\BVMDM01\","Cisco | CCME Radius","BWS1i"
"106","NTE1","Northern Tool & Equipment Co.","\\BVMDM01\RAWDATA\BVMDM01\","Norstar CLID | Avaya IP","BWS1i"
"107","nvcc","Northern Virginia Community College","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"108","nxp","NXP Semiconductors","\\BVMDM01\RAWDATA\BVMDM01\","Avaya","BWS1i"
"109","policy","Policy Studies, Inc.","\\BVMDM01\RAWDATA\BVMDM01\","Cisco | CCME Radius","BWS1i"
"110","ppd","PPD, Inc","\\BVMDM01\RAWDATA\BVMDM01\","Cisco | CCME File","BWS1i"
"111","premier","Premier Inc.","\\BVMDM01\RAWDATA\BVMDM01\","Nortel | Cisco","BWS1i"
"112","prnews","ATT - Pr News","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"113","prudential","Prudential","\\BVMDM01\RAWDATA\BVMDM01\","Avaya","BWS1i"
"114","rch1","Vital Support / Rochelle Comm Hospital","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"115","rmp1","Accudata Systems - Rave Motion Pictures","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"116","rrs1","Internetwork Engineering/Rack Room Shoes","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"117","saf","Safway Services - Waukesha, WI","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"118","schneider","schneider","\\BVMDM01\RAWDATA\BVMDM01\","Avaya","BWS1i"
"119","scj1","SC Johnson Company","\\BVMDM01\RAWDATA\BVMDM01\","Nortel | Siemens | Avaya | Microsoft","BWS1i"
"120","SCL_HealthS","Global - Exempla Healthcare","\\BVMDM01\RAWDATA\BVMDM01\","Cisco | Avaya | Custom Generic","BWS1i"
"121","scottcounty","Vital Support - Scott County Iowa","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"122","scranton","University of Scranton","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"123","shr1","Ronco - Shriners","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"124","signofthedo","Sign of the Dove / The Breakers","\\BVMDM01\RAWDATA\BVMDM01\","Custom FOCUS Filter","BWS1i"
"125","sil1","NACR Inc (Sno-Isle Regional Library, Inc)","\\BVMDM01\RAWDATA\BVMDM01\","Avaya","BWS1i"
"126","snellwilmer","Snell AND Wilmer LLP","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"127","som","State of Maryland","\\BVMDM01\RAWDATA\BVMDM01\","NEC","BWS1i"
"128","stf","Saint Francis Hospital","\\BVMDM01\RAWDATA\BVMDM01\","Cisco | Nortel","BWS1i"
"129","stm1","Sun Times","\\BVMDM01\RAWDATA\BVMDM01\","Avaya | Custom Asterisk Filter","BWS1i"
"130","sumtotal","SumTotal Systems Inc","\\BVMDM01\RAWDATA\BVMDM01\","CCME Radius","BWS1i"
"131","sunoco","Sunoco","\\BVMDM01\RAWDATA\BVMDM01\","Nortel","BWS1i"
"132","techspace","techspace","\\BVMDM01\RAWDATA\BVMDM01\","Nortel | Cisco","BWS1i"
"133","tokio","Tokio Marine","\\BVMDM01\RAWDATA\BVMDM01\","Avaya","BWS1i"
"134","tri1","Total Rejuvenation Inc","\\BVMDM01\RAWDATA\BVMDM01\","CCME Radius","BWS1i"
"135","unitedrenta","United Rentals","\\BVMDM01\RAWDATA\BVMDM01\","Avaya","BWS1i"
"136","vantage","Vantage Travel","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"137","VarianMedic","Varian Medical","\\BVMDM01\RAWDATA\BVMDM01\","Avaya","BWS1i"
"138","vms","Varian Medical Systems","\\BVMDM01\RAWDATA\BVMDM01\","Avaya","BWS1i"
"139","vng","Verizon Business/National Grid","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"140","wbmi","WBMI","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"141","westcorp","Sirus Computer Solutions / West Corp","\\BVMDM01\RAWDATA\BVMDM01\","Cisco | Avaya","BWS1i"
"142","wfi","Agency for Workforce Innovation","\\BVMDM01\RAWDATA\BVMDM01\","Siemens | Wireless Carrier Feed","BWS1i"
"143","wyeth","wyeth","\\BVMDM01\RAWDATA\BVMDM01\","Cisco | Siemens | NEC","BWS1i"
